,monomer_smiles,duplicate,iteration_num,failed,temperature_k,concentration_actual_molal,conductivity_s_per_cm,anion_diffusivity_cm2_per_s,cation_diffusivity_cm2_per_s,polymer_diffusivity_cm2_per_s,transference_number,transference_number_ne,conductivity_ne_s_per_cm,density_g_per_cm3
24,*OCCCNCCN*,False,2,False,353.0,1.489967,0.00059218364,1.095697392e-07,8.50286304e-08,1.27945751e-07,0.41267905000000005,0.434468902,0.00077124266,1.1974236
25,*OCCOCCC*,True,2,False,,,,,,,,,,
26,*OCCOCOC*,False,2,True,,,,,,,,,,
27,*NCC*,True,2,False,,,,,,,,,,
28,*CCOCOCCN*,False,2,False,353.0,1.4776187,0.0012328583519999998,2.1716348599999999e-07,1.30632692e-07,1.94189348e-07,0.36450125,0.37747727200000003,0.00141475186,1.23642614
29,*NCCOC*,False,2,False,353.0,1.4517907,0.000896784244,1.49425518e-07,1.2126570000000002e-07,1.5872715e-07,0.442976744,0.45126718400000004,0.0010974938140000002,1.2475359400000001
30,*OCOC*,False,2,True,,,,,,,,,,
31,*NCCC*,True,2,False,,,,,,,,,,
32,*SCCOCC*,False,2,False,353.0,1.4045198,0.00088403848,3.548546625e-07,4.232090725e-07,3.901474825e-07,0.192894875,0.5410784475,0.00321957125,1.303455925
33,*ONCCOCCN*,False,2,False,353.0,1.4654243,0.0010253984399999998,1.6207578e-07,1.4301784e-07,1.68668112e-07,0.45429739199999997,0.46873733399999995,0.00131009516,1.31250188
34,*S(=O)CN*,False,2,True,,,,,,,,,,
35,*OCNCN*,False,2,False,353.0,1.4326793,0.0005871389260000001,8.936331159999999e-08,2.3079073199999997e-07,9.744326279999999e-08,0.73360395,0.720661754,0.0014017571999999999,1.3597316
36,*CSCCOCCN*,False,2,False,353.0,1.3945222,0.001011536788,2.4671897e-07,1.49003508e-07,2.0951384e-07,0.339087268,0.377897482,0.0016121704000000001,1.2898142199999998
37,*OCCCOCC*,False,2,False,353.0,1.4639171,0.00127024682,2.58928348e-07,1.626910072e-07,2.5811496e-07,0.37174359,0.388599206,0.0016492169800000002,1.1965049799999998
38,*CNCC*,False,2,False,353.0,1.4206367,0.000262298102,7.816722479999999e-08,5.2349015e-08,9.89222468e-08,0.3790947,0.400876886,0.000457979432,1.09632638
39,*COC(=O)*,False,2,True,,,,,,,,,,
40,*ONC*,False,2,True,,,,,,,,,,
41,*OCCCOCCC*,True,2,False,,,,,,,,,,
42,*CNCCOCCN*,False,2,False,353.0,1.489967,0.00047168929749999997,1.040299175e-07,8.2946946e-08,1.1946346025000002e-07,0.4158132425,0.44708682499999997,0.000749997025,1.211902275
43,*NCCOCCOC*,False,2,False,353.0,1.4776187,0.00097834324,1.7992323400000002e-07,1.35343288e-07,1.9091286e-07,0.41660345000000004,0.429591124,0.0012940965799999999,1.24728294
44,*SCCSCCN*,False,2,False,353.0,1.386386,0.0005542627033333333,1.3231800833333334e-07,1.4368243333333334e-07,1.3485715e-07,0.4612270133333333,0.5219040566666666,0.0012026733333333334,1.3853689000000002
45,*ONCOCCOC*,False,2,False,353.0,1.4534779,0.00104227604,1.85259694e-07,2.0648847799999998e-07,2.0638093800000001e-07,0.5078456379999999,0.526647184,0.0017120320599999998,1.3434995
46,*OCCNOCCN*,False,2,True,,,,,,,,,,
47,*CCNCOCCN*,False,2,False,353.0,1.489967,0.000716915778,1.216018202e-07,1.00607548e-07,1.32134844e-07,0.44889793200000006,0.45827988399999997,0.0008894158060000001,1.20916268
48,*SCCNCCOC*,False,2,False,353.0,1.3945222,0.0007546742679999999,1.54503808e-07,9.2691954e-08,1.5262932799999998e-07,0.344580508,0.375520778,0.0010086126860000002,1.2917868399999999
49,*SCCON*,False,2,True,,,,,,,,,,
50,*OCCOCCSC*,False,2,False,353.0,1.4909093,0.0012058857,3.10971215e-07,1.90536565e-07,2.4710022e-07,0.285764355,0.3808992625,0.0022270951,1.34110765
