mol_smiles	conductivity
CC(C)C(OC(=O)[Au])C(=O)NOCCO[Cu]	0
COCCCC(=O)NCC(CN[Cu])OC(=O)[Au]	1
CC(CCN(C)CCOCCN[Cu])OC(=O)[Au]	1
CCCN(CCC#N)CC(COC(=O)[Au])O[Cu]	0
CCC(CO[Cu])NC(=O)CCCCOC(=O)[Au]	0
CC(CCN[Cu])NC(=O)C(C)C(C)NC(=O)[Au]	0
CCC(CNC(COC(=O)[Au])C(C)(C)C)O[Cu]	0
CC(CNCCCOC(=O)[Au])O[Cu]	1
CCN(CCOC(=O)[Au])C(=O)CC(C)(C)O[Cu]	0
O=C([Au])NCCCNCCO[Cu]	1
CC(COC(=O)[Au])SCCO[Cu]	1
CCC(C)(NCC(COC(=O)[Au])O[Cu])C(=O)O	0
CC(CCSCCOCCOC(=O)[Au])O[Cu]	1
C=CC(CN(C)CCOC(=O)[Au])O[Cu]	0
CC(O[Cu])C(NC(=O)[Au])C(=O)NCC(C)(C)F	0
C#CCN(CC(OC(=O)[Au])C(C)O[Cu])C(C)(C)C	0
CC(CCN(C)CCOCCN[Cu])OC(=O)[Au]	1
CC(CN(C(N)=O)C(C)COC(=O)[Au])O[Cu]	0
O=C([Au])NC(CCCN[Cu])P(=O)(O)O	0
C=CCOCCN(CCO[Cu])CCOC(=O)[Au]	1
COC(C)CC(=O)NCC(CO[Cu])OC(=O)[Au]	0
CC(NC(CO[Cu])C(=O)O)C(C)OC(=O)[Au]	0
CCCCCCC(CC(C)OC(=O)[Au])O[Cu]	0
C=CC(CO[Cu])NCCCOC(=O)[Au]	1
CCC(C)C(NC(=O)[Au])C(=O)NCCCO[Cu]	0
CC(CNCCCC(C)(C)OC(=O)[Au])O[Cu]	0
C=CCCC(C)NCC(CN[Cu])OC(=O)[Au]	0
O=C([Au])OCCCOCCN[Cu]	1
CC(C)N(CCCO[Cu])CCNC(=O)[Au]	1
C=CC(COC(=O)[Au])NCCCCCCO[Cu]	0
CCN(CC(COC(=O)[Au])O[Cu])C(C)C(=O)O	0
C=CC(CO[Cu])NC(=O)COCCOC(=O)[Au]	1
CCC(CCNCC(C)OC(=O)[Au])O[Cu]	0
COCCC(CN(C)CCCOC(=O)[Au])N[Cu]	1
CCN(CCCCCCN[Cu])CCNC(=O)[Au]	0
O=C([Au])NCCNCCCNCCN[Cu]	1
COCCCCCNC(CN[Cu])CNC(=O)[Au]	1
C=C(C)CC(NC(=O)[Au])C(=O)NCC=CCO[Cu]	0
CC(C)OCCN(CCN[Cu])CCOC(=O)[Au]	1
CN(CCCO[Cu])CCOCCOC(=O)[Au]	1
O=C([Au])OCCN(CCCCCF)CCO[Cu]	1
O=C([Au])NCCCNCCCO[Cu]	1
CCCC(CNC(=O)CCN[Cu])OC(=O)[Au]	0
CC(CCO[Cu])N(C)CCCCCOC(=O)[Au]	1
CC(C#N)NC(=O)C(O[Cu])C(C)(C)OC(=O)[Au]	0
COCCCCN(CCO[Cu])CCOC(=O)[Au]	1
O=C([Au])OCCCSCCO[Cu]	1
CNCC(CN(C)C(=O)C(C)N[Cu])OC(=O)[Au]	0
N#CCN(CCOCCO[Cu])CCOC(=O)[Au]	1
CC(C)(CNC(=O)C(C)(C)CNC(=O)[Au])N[Cu]	0
COC(=O)C(NC(=O)CO[Cu])C(C)OC(=O)[Au]	0
CCCC(CCOC(=O)[Au])NC(=O)CCO[Cu]	0
NC(=O)CSCC(CO[Cu])OC(=O)[Au]	1
CC(CCCSCCOC(=O)[Au])O[Cu]	1
CCOCC(=O)NCC(CN[Cu])OC(=O)[Au]	0
CC(OC(=O)[Au])C(CO[Cu])S(C)(=O)=O	0
O=C([Au])OCCN(CCCO[Cu])CC(F)F	1
O=C([Au])OCC(CO[Cu])NCCOCC(F)F	1
CC(C)(CNCCCCCCNC(=O)[Au])N[Cu]	1
O=C([Au])NCCN(CCF)CCO[Cu]	1
CN(C)CC(C)(C)NCC(CO[Cu])OC(=O)[Au]	0
C#CCNC(=O)C(CO[Cu])NC(=O)[Au]	0
COCC(C)NC(CO[Cu])C(C)OC(=O)[Au]	0
O=C(CCN[Cu])NCCOCCOC(=O)[Au]	1
COCC(C)(CCOC(=O)[Au])N[Cu]	0
O=C([Au])NCCC(=O)NCCCO[Cu]	1
C=CC(CO[Cu])NC(C)C(C)OC(=O)[Au]	0
COCCCN(CCO[Cu])CCOC(=O)[Au]	1
CC(CCCCNC(=O)[Au])(N[Cu])C(=O)O	0
CON(C)C(=O)C(N[Cu])C(C)OC(=O)[Au]	0
CC(CCNCC(O[Cu])C(C)(C)C)NC(=O)[Au]	0
CC(CN(CCC#N)CCO[Cu])OC(=O)[Au]	1
C=CC(CNC(C)CO[Cu])OC(=O)[Au]	0
CCN(CC(N)=O)CC(OC(=O)[Au])C(C)O[Cu]	1
CN(CC(N)=O)CC(CO[Cu])OC(=O)[Au]	1
COCC(C)(O[Cu])C(=O)OCCCOC(=O)[Au]	0
O=C([Au])NCCOCCOCCN[Cu]	1
O=C([Au])NCCC(=O)NCC=CCO[Cu]	0
CCC(CN(C)CCOCCO[Cu])OC(=O)[Au]	1
O=C([Au])NCCNCCNCCCN[Cu]	1
CCOCC(CN(C)CCO[Cu])OC(=O)[Au]	1
O=C([Au])OCCCCNCCCCO[Cu]	1
CC(COC(=O)[Au])CS(=O)(=O)CCCO[Cu]	0
CCOCCC(=O)NCC(CO[Cu])OC(=O)[Au]	1
COCC(CNC(C)CCO[Cu])OC(=O)[Au]	1
CCN(CCOCCO[Cu])C(=O)COC(=O)[Au]	1
O=C(CCCN[Cu])NCC=CCOC(=O)[Au]	0
C#CCOCCN(C)CC(COC(=O)[Au])O[Cu]	1
CCCC(C)CN(CCN[Cu])CCNC(=O)[Au]	1
O=C(CCCCCOC(=O)[Au])NCCO[Cu]	1
O=C([Au])NCCNS(=O)(=O)NCCN[Cu]	0
CC(CCO[Cu])NC(CCF)COC(=O)[Au]	0
CCN(CC)CCNCC(CO[Cu])OC(=O)[Au]	1
CC(=O)N(C)CC(C)(CO[Cu])COC(=O)[Au]	0
CN(CCCCCOC(=O)[Au])CCCO[Cu]	1
C#CC(C)(C)C(=O)NC(COC(=O)[Au])C(C)O[Cu]	0
CC(C)C(=O)N(C)CC(COC(=O)[Au])O[Cu]	0
O=C(O)CCC(CNC(=O)[Au])N[Cu]	0
CC(CCOC(=O)[Au])SCCO[Cu]	1
CC(CCCOC(=O)[Au])CNC(C)C(C)O[Cu]	0
COC(CNC(=O)[Au])C(=O)NCC(C)CN[Cu]	0
