,sample_id,mol_smiles,conductivity
3531,9597,CCN(C(=O)C(C)(C)O[Cu])C(C)COC(=O)[Au],2.8566495434772496e-05
3459,9598,CCC=CNCC(CO[Cu])OC(=O)[Au],1.58166627820633e-05
5554,9599,CCCC(C)(NC(=O)[Au])C(=O)NC(C)CN[Cu],5.38193391030824e-05
1623,9601,CCC(CC)(CNC(=O)CN[Cu])NC(=O)[Au],4.8703008229391e-05
746,9602,CCOCC(C)(CO[Cu])CC(C)COC(=O)[Au],3.607535818788521e-05
138,9603,CCC(C)(CNC(=O)C(C)O[Cu])OC(=O)[Au],4.24933203647698e-05
3336,9604,CC(CCO[Cu])NC(=O)C(C)(C)OC(=O)[Au],3.770078394762e-05
5449,9605,CC(C)C(OC(=O)[Au])C(=O)NOCCO[Cu],7.78470434885166e-05
5548,9607,CC(CN[Cu])NC(=O)C(CC(F)F)NC(=O)[Au],4.93156430908264e-05
4646,9608,CC(CNC(=O)[Au])C(=O)N(C)CCCN[Cu],3.83900554719894e-05
1012,9609,CC(CCCNC(=O)[Au])NC(=O)C(C)(C)N[Cu],3.0139408157614305e-05
4362,9610,CCC(CC)CNC(=O)C(CO[Cu])NC(=O)[Au],5.03688940820245e-05
1758,9611,CC(C)(C)CC(CCO[Cu])OC(=O)[Au],3.8678512577205295e-05
1688,9612,CNCCN(C)C(=O)CC(CNC(=O)[Au])O[Cu],5.08215581589559e-05
1841,9613,CC(CNC(=O)C(C)(C)CNC(=O)[Au])N[Cu],4.13798147882935e-05
4410,9614,CCCCC(CN[Cu])NC(=O)C(C)NC(=O)[Au],6.24455556371322e-05
5227,9616,CC(CCNC(=O)[Au])NC(=O)C(N[Cu])C(C)C,3.97620315788633e-05
4815,9619,CCC(CO[Cu])C(=O)NCCCCOC(=O)[Au],9.13399702887894e-05
2175,9620,CC(CCN[Cu])NC(=O)C(C)CNC(=O)[Au],4.2069201071442496e-05
5076,9621,CC(CN(C)C(C)CNC(=O)[Au])N[Cu],5.39828552022342e-05
4490,9622,CN(CC(C)(C)NC(=O)[Au])C(=O)C(C)(C)N[Cu],2.42958314339927e-05
5527,9623,CC(C)OC(=O)NC(CO[Cu])C(C)OC(=O)[Au],5.7099503356810704e-05
672,9624,CC(CCOC(=O)[Au])S(=O)(=O)CCCO[Cu],0.0001098386424235
1905,9626,CCC(N[Cu])C(=O)NC(C)(C)CNC(=O)[Au],6.07455773317844e-05
593,9627,CC(C)(CNC(=O)CCCN[Cu])NC(=O)[Au],3.92747282864995e-05
4341,9628,CC(C)CC(COC(=O)[Au])NC(=O)CO[Cu],3.5215896596425604e-05
244,9629,CCCC(OC(=O)[Au])C(=O)N(CC)CCN[Cu],4.04158669463733e-05
1169,9630,CC(C)(F)C(=O)NCC(CN[Cu])OC(=O)[Au],5.4530001938405296e-05
3026,9633,CC(N[Cu])C(C)C(=O)N(C)CCNC(=O)[Au],5.34537168523755e-05
5089,9636,CN(CCCNC(=O)[Au])C(=O)CCCN[Cu],5.01662791586782e-05
5905,9637,CC(C)(C)C(OC(=O)[Au])C(=O)NCCO[Cu],3.50911662236534e-05
4795,9642,CCCN(CCOC(=O)[Au])CC(CC#N)O[Cu],4.899404718546911e-05
2097,9643,CCCC(CNCC(=O)CCO[Cu])OC(=O)[Au],5.45787014198133e-05
1521,9644,CSC(C)C(=O)NC(CO[Cu])COC(=O)[Au],3.89810866303326e-05
1541,9645,CCCOC(=O)NC(CO[Cu])COC(=O)[Au],4.07735773388998e-05
5818,9646,CN(CCNC(=O)[Au])C(=O)C(C)(C)N[Cu],3.6740182076252096e-05
2734,9647,CC(N[Cu])C(=O)NCC(NC(=O)[Au])C(C)C,3.9569323624947e-05
221,9648,CC(CCCOC(=O)[Au])NC(=O)C(C)O[Cu],5.27402167567619e-05
3177,9650,CC(C)(C)C(COC(=O)[Au])NC(=O)CCN[Cu],4.586555106177461e-05
2467,9651,CC(CNC(=O)C(C)(O[Cu])C(C)C)OC(=O)[Au],2.97557508843151e-05
1355,9652,CC(C)C(CNCCCO[Cu])OC(=O)[Au],6.418749780371271e-05
4360,9653,CC(C)(CNC(=O)[Au])C(=O)NCCCCO[Cu],7.0390093058545e-05
2636,9654,CC(C)OCCCNC(CN[Cu])CNC(=O)[Au],8.961116480903441e-05
4516,9655,CC(C)C(OC(=O)[Au])C(=O)NCCCCN[Cu],6.450031130644648e-05
3210,9656,CC(CCCC#N)NCC(CNC(=O)[Au])O[Cu],6.16078621313782e-05
2677,9657,CCC(COC(=O)[Au])N(C)CC(COC)O[Cu],8.95614826212945e-05
4421,9658,N=C(NC(=O)CCO[Cu])SCCNC(=O)[Au],6.874351952279921e-05
1197,9659,CCCCN(CCCOC(=O)[Au])C(=O)CO[Cu],6.0307600997076e-05
